dataset,block_bytes,mode,mbps,output_pct,compression_factor,space_saved_pct,payload_output_pct,output_mb_per_input_gb,throughput_vs_sw,output_reduction_vs_sw_pct
random,4096,sw,2511.211,100.43944715843689,0.9956247553041219,-0.43944715843688975,100.43944715843689,1004.394471584369,1.0,0.0
random,4096,sync,1170.426,100.29296875,0.997078870496592,-0.29296875,100.0,1002.9296875,0.4660803094602564,0.14583752955731333
random,4096,async,2377.934,100.29296875,0.997078870496592,-0.29296875,100.0,1002.9296875,0.9469271996658187,0.14583752955731333
random,65536,sw,8501.436,100.3936767578125,0.9960786697875186,-0.3936767578125,100.3936767578125,1003.936767578125,1.0,0.0
random,65536,sync,1526.948,100.018310546875,0.9998169280527247,-0.018310546875,100.0,1000.18310546875,0.1796105975508138,0.3738942760738051
random,65536,async,3604.29,100.018310546875,0.9998169280527247,-0.018310546875,100.0,1000.18310546875,0.4239624929247247,0.3738942760738051
random,262144,sw,9064.815,100.39253234863281,0.9960900244325975,-0.3925323486328125,100.39253234863281,1003.9253234863281,1.0,0.0
random,262144,sync,1528.887,100.00457763671875,0.9999542257281924,-0.00457763671875,100.0,1000.0457763671875,0.16866168807637,0.38643781846922076
random,262144,async,3496.262,100.00457763671875,0.9999542257281924,-0.00457763671875,100.0,1000.0457763671875,0.3856959022329744,0.38643781846922076
random,1048576,sw,10634.205,100.39234161376953,0.9960919168986121,-0.39234161376953125,100.39234161376953,1003.9234161376953,1.0,0.0
random,1048576,sync,1521.079,100.00114440917969,0.9999885560391689,-0.0011444091796875,100.0,1000.0114440917969,0.14303645641587687,0.38966837340527194
random,1048576,async,3439.482,100.00114440917969,0.9999885560391689,-0.0011444091796875,100.0,1000.0114440917969,0.3234357434335712,0.38966837340527194
random,4194304,sw,14963.296,100.39219856262207,0.9960933362528421,-0.3921985626220703,100.39219856262207,1003.9219856262207,1.0,0.0
random,4194304,sync,1536.217,100.00028610229492,0.9999971389852362,-0.000286102294921875,100.0,1000.0028610229492,0.10266568274797211,0.39038139012632644
random,4194304,async,3275.485,100.00028610229492,0.9999971389852362,-0.000286102294921875,100.0,1000.0028610229492,0.21890130356306525,0.39038139012632644
repeated,4096,sw,7478.894,0.634765625,157.53846153846155,99.365234375,0.634765625,6.34765625,1.0,0.0
