repeat,cpuset,mode,cores,block_bytes,input,wall_seconds,input_bytes,output_bytes,calls,mbps,thread_cpu_seconds,process_cpu_seconds,cpu_cores_used,output_ratio,depth,validation,fallback,phase,dataset,compression_factor,space_saved_pct,payload_output_ratio,cpu_seconds_per_gb
1,0,async,1,65536,/root/hch/silesia/dickens,2.000100,1044348084,610886909,15984,522.148,1.997702,1.997748,0.998824,0.5849456884721972,8,PASS,0,scaling,dickens,1.7095604253650818,41.50543115278028,0.584762025570011,1.9129139322478999
1,0,sync,1,65536,/root/hch/silesia/dickens,2.000111,855868954,500653358,13099,427.911,1.998649,1.998707,0.999298,0.5849649711677706,8,PASS,0,scaling,dickens,1.7095040716774739,41.50350288322294,0.5847813122100933,2.335295597134138
1,0,sw,1,65536,/root/hch/silesia/dickens,2.000170,572939664,362431429,8769,286.445,1.998279,1.998321,0.999075,0.6325821928083513,8,PASS,0,scaling,dickens,1.580822241550139,36.74178071916487,0.6325821928083513,3.4878384681008923
1,"0,2",sync,2,65536,/root/hch/silesia/dickens,2.000042,1701645364,995384657,26044,850.805,3.997424,3.997499,1.998708,0.5849542319794432,8,PASS,0,scaling,dickens,1.7095354565024203,41.50457680205568,0.5847705697389953,2.349196304101352
1,"0,2",sw,2,65536,/root/hch/silesia/dickens,2.000147,1144141026,723759445,17511,572.028,3.996928,3.996986,1.998345,0.6325788766882309,8,PASS,0,scaling,dickens,1.580830528574311,36.74211233117691,0.6325788766882309,3.4934382293533806
1,"0,2",async,2,65536,/root/hch/silesia/dickens,2.000506,2065165548,1208032974,31608,1032.321,3.995028,3.995093,1.997041,0.5849569663651972,8,PASS,0,scaling,dickens,1.7095274652660268,41.504303363480275,0.5847733026388836,1.93451464647424
1,"0,2,4,6",sw,4,65536,/root/hch/silesia/dickens,2.000112,2289823746,1448489585,35046,1144.848,7.99468,7.994752,3.997153,0.6325768904835176,8,PASS,0,scaling,dickens,1.5808354921654477,36.742310951648236,0.6325768904835176,3.49142680259374
1,"0,2,4,6",sync,4,65536,/root/hch/silesia/dickens,2.000115,3420988644,2001133736,52359,1710.396,7.994439,7.99452,3.997031,0.5849577254545251,8,PASS,0,scaling,dickens,1.709525246842373,41.50422745454749,0.5847740627577482,2.3369034018927306
1,"0,2,4,6",async,4,65536,/root/hch/silesia/dickens,2.000976,4141341144,2422489790,63384,2069.66,7.992905,7.992997,3.994549,0.5849529671105984,8,PASS,0,scaling,dickens,1.7095391531041293,41.504703288940156,0.584769304868452,1.9300503682437034
1,"0,2,4,6,8,10,12,14",async,8,65536,/root/hch/silesia/dickens,2.000899,8243884976,4822302522,126176,4120.09,15.986956,15.987142,7.989979,0.5849550953268905,8,PASS,0,scaling,dickens,1.709532933363321,41.50449046731095,0.5847714304644611,1.9392728120955771
1,"0,2,4,6,8,10,12,14",sw,8,65536,/root/hch/silesia/dickens,2.000146,4583155266,2899183457,70146,2291.411,15.989296,15.98941,7.994123,0.6325736940460005,8,PASS,0,scaling,dickens,1.5808434802337519,36.74263059539995,0.6325736940460005,3.488734086452833
1,"0,2,4,6,8,10,12,14",sync,8,65536,/root/hch/silesia/dickens,2.000130,6800714386,3978063023,104086,3400.137,15.989052,15.989246,7.994105,0.5849478153632315,8,PASS,0,scaling,dickens,1.7095542093426508,41.505218463676854,0.584764153481684,2.351112705588045
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sync,16,65536,/root/hch/silesia/dickens,2.000240,8503773568,4974284269,130153,4251.377,31.981245,31.981644,15.988906,0.5849502258289669,8,PASS,0,scaling,dickens,1.7095471646033504,41.504977417103305,0.584766561954628,3.7608767148208244
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sw,16,65536,/root/hch/silesia/dickens,2.000218,9174571264,5803608013,140419,4586.786,31.979971,31.980257,15.988388,0.6325753919175182,8,PASS,0,scaling,dickens,1.5808392371519733,36.742460808248175,0.6325753919175182,3.4857494786145464
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",async,16,65536,/root/hch/silesia/dickens,2.001934,8493222272,4968056963,129992,4242.509,31.989157,31.989425,15.979261,0.5849437120441818,8,PASS,0,scaling,dickens,1.7095662016868867,41.50562879558181,0.5847600474761248,3.766465067735366
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",sync,32,65536,/root/hch/silesia/dickens,2.000570,8501807488,4972837057,130123,4249.693,63.957881,63.958474,31.970126,0.584915274077775,8,PASS,0,scaling,dickens,1.7096493190003994,41.5084725922225,0.5847316100743024,7.5229266353390285
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",sw,32,65536,/root/hch/silesia/dickens,2.000218,18341933568,11602675450,280728,9169.969,63.956238,63.956926,31.974985,0.6325764623988415,8,PASS,0,scaling,dickens,1.580836561967266,36.742353760115854,0.6325764623988415,3.4869238710787593
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",async,32,65536,/root/hch/silesia/dickens,2.003163,8473211420,4956476671,129680,4229.916,63.996599,63.997387,31.948168,0.5849584561646639,8,PASS,0,scaling,dickens,1.7095231113617806,41.50415438353361,0.5847747997063432,7.552908080275424
1,0,async,1,65536,/tmp/accflow-lz4-final/inputs/text,2.000086,7808221184,155159695,119144,3903.943,1.997196,1.997246,0.99858,0.019871324254740783,8,PASS,0,scaling,text,50.32377244618843,98.01286757452591,0.019688218785990783,0.25578757990265455
1,0,sync,1,65536,/tmp/accflow-lz4-final/inputs/text,2.000019,3713597440,71167230,56665,1856.781,1.99888,1.998931,0.999456,0.019163959247020593,8,PASS,0,scaling,text,52.18128399826718,98.08360407529794,0.018980853778270593,0.5382734753285483
1,0,sw,1,65536,/tmp/accflow-lz4-final/inputs/text,2.000004,20486291456,100968508,312596,10243.124,1.997809,1.997859,0.998927,0.0049285888671875,8,PASS,0,scaling,text,202.89783281733747,99.50714111328125,0.0049285888671875,0.09752175030268202
1,"0,2",sync,2,65536,/tmp/accflow-lz4-final/inputs/text,2.000048,4050649088,77362174,61808,2025.276,3.997779,3.99785,1.998877,0.01909871043364001,8,PASS,0,scaling,text,52.35955607969342,98.09012895663601,0.01891560496489001,0.986965277205469
1,"0,2",sw,2,65536,/tmp/accflow-lz4-final/inputs/text,2.000009,40617377792,200186356,619772,20308.596,3.992855,3.990937,1.995459,0.0049285888671875,8,PASS,0,scaling,text,202.89783281733747,99.50714111328125,0.0049285888671875,0.09825688453935731
1,"0,2",async,2,65536,/tmp/accflow-lz4-final/inputs/text,2.000234,8525447168,170090659,130088,4262.224,3.994394,3.994456,1.996994,0.019950936959462956,8,PASS,0,scaling,text,50.1229592390491,98.0049063040537,0.019767831490712956,0.4685333122458451
1,"0,2,4,6",sw,4,65536,/tmp/accflow-lz4-final/inputs/text,2.000010,81960960000,403951875,1250625,40980.279,7.992623,7.992714,3.996337,0.0049285888671875,8,PASS,0,scaling,text,202.89783281733747,99.50714111328125,0.0049285888671875,0.09751855029516492
1,"0,2,4,6",sync,4,65536,/tmp/accflow-lz4-final/inputs/text,2.000032,8104771584,161261961,123669,4052.321,7.994693,7.994772,3.997322,0.019897162964882885,8,PASS,0,scaling,text,50.25842135207571,98.01028370351172,0.019714057496132885,0.9864277996165672
1,"0,2,4,6",async,4,65536,/tmp/accflow-lz4-final/inputs/text,2.000381,8522301440,169211241,130040,4260.339,7.990302,7.99039,3.994434,0.01985511099217819,8,PASS,0,scaling,text,50.364865771535825,98.01448890078218,0.01967200552342819,0.937585939227233
1,"0,2,4,6,8,10,12,14",async,8,65536,/tmp/accflow-lz4-final/inputs/text,2.000640,8515485696,167592764,129936,4256.381,15.988372,15.988583,7.991735,0.01968094011111119,8,PASS,0,scaling,text,50.81058091505669,98.03190598888888,0.01949783464236119,1.877589085436472
1,"0,2,4,6,8,10,12,14",sw,8,65536,/tmp/accflow-lz4-final/inputs/text,2.000008,161967833088,798272859,2471433,80983.611,15.986684,15.986859,7.9934,0.0049285888671875,8,PASS,0,scaling,text,202.89783281733747,99.50714111328125,0.0049285888671875,0.09870391358087785
1,"0,2,4,6,8,10,12,14",sync,8,65536,/tmp/accflow-lz4-final/inputs/text,2.000099,8523677696,171490702,130061,4261.628,15.990644,15.990775,7.994991,0.02011933206724573,8,PASS,0,scaling,text,49.70343929200313,97.98806679327544,0.01993622659849573,1.8760417240440903
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sync,16,65536,/tmp/accflow-lz4-final/inputs/text,2.000239,8515354624,171323014,129934,4257.168,31.983499,31.987296,15.991736,0.02011930466373493,8,PASS,0,scaling,text,49.70350699060197,97.98806953362651,0.01993619919498493,3.756425587942725
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sw,16,65536,/tmp/accflow-lz4-final/inputs/text,2.000008,317898752000,1566792250,4850750,158948.728,31.976157,31.977691,15.98878,0.0049285888671875,8,PASS,0,scaling,text,202.89783281733747,99.50714111328125,0.0049285888671875,0.10059080382926448
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",async,16,65536,/tmp/accflow-lz4-final/inputs/text,2.001775,8493465600,166446216,129600,4242.967,31.994982,31.9953,15.983464,0.0195969729953342,8,PASS,0,scaling,text,51.028288921870114,98.04030270046657,0.0194138675265842,3.7670488710756653
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",sync,32,65536,/tmp/accflow-lz4-final/inputs/text,2.000491,8518762496,171405610,129986,4258.336,63.969234,63.969822,31.977061,0.02012095184957719,8,PASS,0,scaling,text,49.69943805223178,97.98790481504228,0.01993784638082719,7.509285771265151
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",sw,32,65536,/tmp/accflow-lz4-final/inputs/text,2.000011,625178050560,3081245580,9539460,312587.3,63.956247,63.956977,31.978312,0.0049285888671875,8,PASS,0,scaling,text,202.89783281733747,99.50714111328125,0.0049285888671875,0.10230201930907662
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",async,32,65536,/tmp/accflow-lz4-final/inputs/text,2.003370,8448376832,165280283,128912,4217.083,64.017734,64.018171,31.955242,0.019563554785336546,8,PASS,0,scaling,text,51.115454781741875,98.04364452146635,0.019380449316586546,7.57757049348435
2,0,async,1,65536,/root/hch/silesia/dickens,2.000301,1043823796,610584048,15976,521.833,1.997739,1.997797,0.998748,0.5849493471405781,8,PASS,0,scaling,dickens,1.709549732619284,41.50506528594219,0.5847656839584063,1.9139216864529116
2,0,sw,1,65536,/root/hch/silesia/dickens,2.000203,572874128,362390068,8768,286.408,1.998359,1.998404,0.999101,0.6325823602213714,8,PASS,0,scaling,dickens,1.5808218231852866,36.74176397786286,0.6325823602213714,3.488382355434281
2,0,sync,1,65536,/root/hch/silesia/dickens,2.000020,856755288,501165441,13113,428.373,1.99858,1.998636,0.999308,0.5849575112281069,8,PASS,0,scaling,dickens,1.7095258729142897,41.50424887718931,0.5847738461813847,2.332796806735321
