phase,name,repeat,mode,block,window_kb,cores,nodes,threads_per_device,contexts_per_device,seconds,gbps
official,official-001,1,sync,4096,32,8,0,8,8,3,7.228039168
official,official-002,1,async,4096,32,8,0,4,4,3,7.23095825408
official,official-003,1,sync,65536,32,8,0,8,8,3,4.26067012608
official,official-004,1,async,65536,32,8,0,4,4,3,4.26080119808
official,official-005,1,sync,262144,32,8,0,8,8,3,4.06567867392
official,official-006,1,async,262144,32,8,0,4,4,3,4.06130961408
official,official-007,1,sync,1048576,32,8,0,8,8,3,4.01849275392
official,official-008,1,async,1048576,32,8,0,4,4,3,4.013948928
official,official-009,1,sync,65536,32,1,0,1,1,3,2.03674964992
official,official-010,1,sync,65536,32,4,0,4,4,3,4.262985728
official,official-011,1,sync,65536,32,16,0,16,16,3,4.26621883392
official,official-012,1,async,65536,32,2,0,1,1,3,4.26176238592
official,official-013,1,async,65536,32,16,0,8,8,3,4.26082304
official,official-014,1,async,65536,32,24,0,8,16,3,4.26040798208
official,official-015,1,sync,65536,32,8,0,8,8,5,4.2634838016
official,official-016,1,async,65536,32,8,0,4,4,5,4.2611769344
official,official-017,1,sync,65536,32,8,1,8,8,5,4.26246144
official,official-018,1,async,65536,32,8,1,4,4,5,4.25885696
official,official-019,1,sync,65536,32,16,"0,1",8,8,5,8.525237452799999
official,official-020,1,async,65536,32,16,"0,1",4,4,5,8.5197193216
official,official-021,2,sync,65536,32,8,0,8,8,5,4.2641391616
official,official-022,2,async,65536,32,8,0,4,4,5,4.260678860800001
official,official-023,2,sync,65536,32,8,1,8,8,5,4.2613735424
official,official-024,2,async,65536,32,8,1,4,4,5,4.2580836352
official,official-025,2,sync,65536,32,16,"0,1",8,8,5,8.5228388352
official,official-026,2,async,65536,32,16,"0,1",4,4,5,8.5177925632
official,official-027,3,sync,65536,32,8,0,8,8,5,4.261609472
official,official-028,3,async,65536,32,8,0,4,4,5,4.2614784
official,official-029,3,sync,65536,32,8,1,8,8,5,4.2590273536
official,official-030,3,async,65536,32,8,1,4,4,5,4.2575069184
official,official-031,3,sync,65536,32,16,"0,1",8,8,5,8.518762496
official,official-032,3,async,65536,32,16,"0,1",4,4,5,8.5191819264
official,official-033,1,async,4096,32,16,"0,1",4,4,3,14.402610513920001
official,official-034,1,async,262144,32,16,"0,1",4,4,3,8.11929873408
official,official-035,1,async,1048576,32,16,"0,1",4,4,3,8.02440260608
official-fine,official-fine-001,1,sync,4096,32,8,0,8,8,5,7.1443365888
official-fine,official-fine-002,1,async,4096,32,8,0,4,4,5,7.1691173888
official-fine,official-fine-003,1,sync,4096,32,8,1,8,8,5,7.1409524736000005
official-fine,official-fine-004,1,async,4096,32,8,1,4,4,5,7.1717036032
official-fine,official-fine-005,1,sync,4096,32,16,"0,1",8,8,5,14.3267037184
official-fine,official-fine-006,1,async,4096,32,16,"0,1",4,4,5,14.270240358400002
