block,window_kb,nodes,mode,samples,gbps,gbps_min,gbps_max
4096,32,0,async,3,7.1691173888,7.144255488,7.1854137344
4096,32,0,sync,3,7.1443365888,7.1439097856,7.16288
4096,32,"0,1",async,3,14.2972100608,14.270240358400002,14.3058894848
4096,32,"0,1",sync,3,14.3113723904,14.307285401599998,14.3267037184
4096,32,1,async,3,7.1792656383999995,7.1717036032,7.1795728383999995
4096,32,1,sync,3,7.1432675328,7.1409524736000005,7.1460438016
65536,4,0,sync,3,7.9815114752,7.9805939712,7.9828615168
65536,4,"0,1",sync,3,15.9640059904,15.957557248,15.966902681599999
65536,4,1,sync,3,7.9784574976,7.9778021376,7.9786672128000005
65536,8,0,sync,3,7.986806784,7.98294016,7.987134464
65536,8,"0,1",sync,3,15.973587353600001,15.9711756288,15.9770607616
65536,8,1,sync,3,7.986151424,7.9856795648,7.9880126464
65536,32,0,async,3,4.2611769344,4.260678860800001,4.2614784
65536,32,0,sync,3,4.2634838016,4.261609472,4.2641391616
65536,32,"0,1",async,3,8.5191819264,8.5177925632,8.5197193216
65536,32,"0,1",sync,3,8.5228388352,8.518762496,8.525237452799999
65536,32,1,async,3,4.2580836352,4.2575069184,4.25885696
65536,32,1,sync,3,4.2613735424,4.2590273536,4.26246144
