phase,name,repeat,mode,cores,window_kb,block,dataset,depth,seconds,input_bytes,output_bytes,calls,gbps,output_pct,compression_factor,cpu_cores_used,cpu_seconds_per_gb,validation
optimized,optimized-001,1,sw,1,32,65536,dickens,8,2,572743056,362308065,8766,0.286348,63.25839505245787,1.580817849031321,0.998507,3.487040244737173,PASS
optimized,optimized-002,1,sync,1,32,65536,dickens,8,2,853968410,499527966,13070,0.426984,58.494899828905844,1.7095507521594897,0.998905,2.3394436325482926,PASS
optimized,optimized-003,1,async,1,32,65536,dickens,8,2,1041202356,609059825,15936,0.520597,58.495817022526985,1.7095239470112809,0.998592,1.918167027470385,PASS
optimized,optimized-004,1,sw,2,32,65536,dickens,8,2,1145486112,724615835,17532,0.5726789999999999,63.25836929919932,1.5808184926016695,1.997493,3.4879801773768553,PASS
optimized,optimized-005,1,sync,2,32,65536,dickens,8,2,1708526644,999406722,26149,0.854206,58.4952377248382,1.7095408769924203,1.998177,2.3392214524365316,PASS
optimized,optimized-006,1,async,2,32,65536,dickens,8,2,2074047274,1213233951,31744,1.036779,58.49596420529806,1.7095196456466457,1.996466,1.9256427840455876,PASS
optimized,optimized-007,1,sw,4,32,65536,dickens,8,2,2289102850,1448048173,35035,1.1444400000000001,63.25832729621563,1.5808195422515132,3.996603,3.4921909405473412,PASS
optimized,optimized-008,1,sync,4,32,65536,dickens,8,2,3419905702,2000513995,52342,1.709848,58.49617414392673,1.7095135103016363,3.995894,2.3369878492123277,PASS
optimized,optimized-009,1,async,4,32,65536,dickens,8,2,4162774612,2435009770,63712,2.0806970000000002,58.494874139488964,1.7095515029494113,3.99464,1.9198566634161531,PASS
optimized,optimized-010,1,sw,8,32,65536,dickens,8,2,4584465986,2900030220,70166,2.2920010000000004,63.25775409515712,1.5808338666208797,7.993679,3.487642021098594,PASS
optimized,optimized-011,1,sync,8,32,65536,dickens,8,2,6826504400,3993203082,104480,3.413004,58.49557618391047,1.7095309854816945,7.987284,2.3402504069728605,PASS
optimized,optimized-012,1,async,8,32,65536,dickens,8,2,8312966312,4862685433,127232,4.154517,58.495189929743574,1.7095422738195452,7.989809,1.923161946382696,PASS
optimized,optimized-013,1,sw,16,32,65536,dickens,8,2,9164378818,5797212451,140263,4.581631000000001,63.25810582615311,1.5808250767865468,15.984903,3.4889110449968572,PASS
optimized,optimized-014,1,sync,16,32,65536,dickens,8,2,13500939712,7897545246,206632,6.749933,58.49626333032544,1.7095109038897933,15.968711,2.36575844530605,PASS
optimized,optimized-015,1,async,16,32,65536,dickens,8,2,16411997552,9600348056,251192,8.201867,58.495914501462266,1.7095210982213165,15.975781,1.9478224896843608,PASS
optimized,optimized-016,1,sw,24,32,65536,dickens,8,2,13749927746,8697927080,210446,6.87412,63.25798390126318,1.5808281237050794,23.977748,3.488118915584831,PASS
optimized,optimized-017,1,sync,24,32,65536,dickens,8,2,16843768686,9852701643,257796,8.419103999999999,58.494638739543184,1.7095583826966798,23.94866,2.8445616065557573,PASS
optimized,optimized-018,1,async,24,32,65536,dickens,8,2,17006092560,9947558131,260280,8.497924999999999,58.49408437537047,1.709574584641349,23.964881,2.8200861975129223,PASS
optimized,optimized-019,1,sw,28,32,65536,dickens,8,2,16044276672,10149295854,245562,8.021199,63.25804560396452,1.5808265817452443,27.973583,3.4874565510717295,PASS
optimized,optimized-020,1,sync,28,32,65536,dickens,8,2,16873353396,9870096765,258246,8.431447,58.495170067023,1.709542854314661,27.942358,3.3140643592968084,PASS
optimized,optimized-021,1,async,28,32,65536,dickens,8,2,17022470168,9957129414,260528,8.505643,58.49403356698543,1.7095760695914963,27.955853,3.2867418724251656,PASS
optimized,optimized-022,1,sw,29,32,65536,dickens,8,2,16612594450,10508762882,254260,8.305325,63.257806681725135,1.5808325524648563,28.970689,3.488206542188295,PASS
optimized,optimized-023,1,sync,29,32,65536,dickens,8,2,16846349368,9854385490,257833,8.422096999999999,58.495673304262674,1.7095281471478136,28.949706,3.437351291489519,PASS
optimized,optimized-024,1,async,29,32,65536,dickens,8,2,17008869850,9949158923,260320,8.498709000000002,58.49394469321546,1.7095786670649809,28.954179,3.4068914466891376,PASS
optimized,optimized-025,1,sw,30,32,65536,dickens,8,2,17185730722,10871328166,263032,8.591895000000001,63.25787562866482,1.580830829460953,29.970736,3.488256781536552,PASS
optimized,optimized-026,1,sync,30,32,65536,dickens,8,2,16872860278,9869758231,258238,8.434956,58.49487323657194,1.7095515293377606,29.944916,3.5500974753158165,PASS
optimized,optimized-027,1,async,30,32,65536,dickens,8,2,17003658140,9946084570,260240,8.496195,58.4937928539182,1.7095831048217198,29.950296,3.525142254856439,PASS
optimized,optimized-028,1,sw,32,32,65536,dickens,8,2,18335148994,11598424883,280624,9.166421,63.25787091665016,1.5808309472154383,31.96691,3.4873927348525666,PASS
optimized,optimized-029,1,sync,32,32,65536,dickens,8,2,16908069090,9890232984,258780,8.451859,58.49415998571603,1.7095723748220246,31.943747,3.7794936001653596,PASS
optimized,optimized-030,1,async,32,32,65536,dickens,8,2,17009513216,9949742911,260336,8.498805,58.49516552678753,1.7095429870047223,31.946719,3.7589659958076456,PASS
optimized,optimized-031,1,sw,64,32,65536,dickens,8,2,36573026584,23135155625,559759,18.284080000000003,63.2574270873201,1.5808420387057587,63.892186,3.4944162353260317,PASS
optimized,optimized-032,1,sync,64,32,65536,dickens,8,2,16995084918,9941081873,260103,8.490304,58.49386408461604,1.7095810229828896,63.86741,7.522393780010704,PASS
optimized,optimized-033,1,async,64,32,65536,dickens,8,2,16987685742,9936803469,259992,8.48317,58.49415641373948,1.7095724792179645,63.890465,7.531437540447734,PASS
optimized,optimized-034,2,sw,1,32,65536,dickens,8,2,571825552,361718801,8752,0.285897,63.25684463292399,1.5808565947336533,0.998873,3.493821201341742,PASS
optimized,optimized-035,2,sync,1,32,65536,dickens,8,2,856065562,500770479,13102,0.428022,58.49674385102761,1.7094968611358579,0.999034,2.3340716131413806,PASS
optimized,optimized-036,2,async,1,32,65536,dickens,8,2,1041202356,609060133,15936,0.520361,58.49584660371245,1.7095230825098184,0.998662,1.9191714982483317,PASS
optimized,optimized-037,2,sw,2,32,65536,dickens,8,2,1143716640,723487747,17505,0.571823,63.257604348573615,1.5808376088503404,1.99805,3.494175645260859,PASS
optimized,optimized-038,2,sync,2,32,65536,dickens,8,2,1708788788,999569081,26153,0.854362,58.49576542282415,1.709525454999543,1.998363,2.3390120347112817,PASS
optimized,optimized-039,2,async,2,32,65536,dickens,8,2,2089744744,1222394799,31984,1.0444120000000001,58.49493353241806,1.7095497671534186,1.997425,1.912487600678659,PASS
