phase,dataset,block,window_kb,cores,mode,samples,gbps,gbps_min,gbps_max,output_pct,output_pct_min,output_pct_max,compression_factor,compression_factor_min,compression_factor_max,cpu_seconds_per_gb,cpu_seconds_per_gb_min,cpu_seconds_per_gb_max
optimized,dickens,65536,32,1,async,3,0.520597,0.520361,0.521451,58.495817022526985,58.49505749024085,58.49584660371245,1.7095239470112809,1.7095230825098184,1.709546144418846,1.918167027470385,1.9123062377864843,1.9191714982483317
optimized,dickens,65536,32,1,sw,3,0.285897,0.284844,0.286348,63.25684463292399,63.25681655286564,63.25839505245787,1.5808565947336533,1.580817849031321,1.5808572964848298,3.493821201341742,3.487040244737173,3.5075409697939928
optimized,dickens,65536,32,1,sync,3,0.428022,0.426984,0.428623,58.49517707394909,58.494899828905844,58.49674385102761,1.7095426495346937,1.7094968611358579,1.7095507521594897,2.3340716131413806,2.3313004668438233,2.3394436325482926
optimized,dickens,65536,32,2,async,3,1.0444120000000001,1.036779,1.0448979999999999,58.49493353241806,58.494668569153454,58.49596420529806,1.7095497671534186,1.7095196456466457,1.7095575108999583,1.912487600678659,1.9119397300023544,1.9256427840455876
optimized,dickens,65536,32,2,sw,3,0.572644,0.571823,0.5726789999999999,63.25836929919932,63.257604348573615,63.258410597293924,1.5808184926016695,1.580817460568284,1.5808376088503404,3.489710884947716,3.4879801773768553,3.494175645260859
optimized,dickens,65536,32,2,sync,3,0.854362,0.854206,0.854432,58.495744980608364,58.4952377248382,58.49576542282415,1.709526052418864,1.709525454999543,1.7095408769924203,2.3391598161117564,2.3390120347112817,2.3392214524365316
optimized,dickens,65536,32,4,async,3,2.0780920000000003,2.078016,2.0806970000000002,58.49544307005272,58.494874139488964,58.49553878785885,1.7095348757379687,1.709532078380577,1.7095515029494113,1.921810034186455,1.9198566634161531,1.9226930280276329
optimized,dickens,65536,32,4,sw,3,1.1444400000000001,1.1427470000000002,1.144746,63.25819147414386,63.25733975515608,63.25832729621563,1.5808229364393698,1.5808195422515132,1.580844221193305,3.4921909405473412,3.491076623111153,3.497579954268092
optimized,dickens,65536,32,4,sync,3,1.70725,1.704315,1.709848,58.495488119185644,58.495361370657676,58.49617414392673,1.709533559173797,1.7095135103016363,1.7095372634138781,2.3414069409869676,2.3369878492123277,2.34510345798752
optimized,dickens,65536,32,8,async,3,4.154517,4.152318,4.154806,58.495215102546695,58.495189929743574,58.495439703007435,1.709541538135934,1.7095349741401924,1.7095422738195452,1.923161946382696,1.9230979737682097,1.924248335508022
optimized,dickens,65536,32,8,sw,3,2.29096,2.290902,2.2920010000000004,63.25775409515712,63.257736502626415,63.257882643718034,1.5808338666208797,1.5808306541529606,1.580834306264627,3.489310158186961,3.487642021098594,3.489415522794079
optimized,dickens,65536,32,8,sync,3,3.416766,3.413004,3.4188389999999997,58.49574799373476,58.49557618391047,58.4961874514891,1.7095259643608727,1.7095131213966726,1.7095309854816945,2.3378700794845186,2.3364007489092056,2.3402504069728605
optimized,dickens,65536,32,16,async,3,8.206663,8.201867,8.213268,58.495938751669506,58.495914501462266,58.49614249564558,1.7095203895184252,1.7095144352030385,1.7095210982213165,1.946756312523129,1.9453486724163878,1.9478224896843608
optimized,dickens,65536,32,16,sw,3,4.582471,4.581631000000001,4.583196,63.25807006297636,63.25798041665915,63.25810582615311,1.580825970511673,1.5808250767865468,1.5808282107859508,3.4881881412888376,3.4879483661619535,3.4889110449968572
optimized,dickens,65536,32,16,sync,3,6.749855999999999,6.744801000000001,6.749933,58.49626333032544,58.496118970371015,58.496337147732035,1.7095109038897933,1.7095087466323027,1.7095151227152559,2.3659497328535606,2.36575844530605,2.368012636696027
optimized,dickens,65536,32,24,async,3,8.497924999999999,8.497592000000001,8.499777,58.49408437537047,58.49408246855112,58.49424891640129,1.709574584641349,1.7095697757042376,1.7095746403709162,2.8200861975129223,2.8194020854900077,2.8202780269987073
optimized,dickens,65536,32,24,sw,3,6.87412,6.790629,6.877688,63.2579142127472,63.25572490703995,63.25798390126318,1.5808298652352475,1.5808281237050794,1.5808845783833656,3.488118915584831,3.486325055745477,3.5302314410049496
optimized,dickens,65536,32,24,sync,3,8.417693,8.407337,8.419103999999999,58.494689078197396,58.494638739543184,58.49474468270347,1.7095569115055405,1.7095552864182235,1.7095583826966798,2.8447546470422203,2.8445616065557573,2.8465029551445986
optimized,dickens,65536,32,28,async,3,8.499437,8.494742,8.505643,58.49392310046244,58.493778905172974,58.49403356698543,1.7095792981478006,1.7095760695914963,1.7095835124982217,3.2886585311474157,3.2867418724251656,3.2911624626151093
optimized,dickens,65536,32,28,sw,3,8.020661,8.016884,8.021199,63.25804560396452,63.25798764480055,63.2581413513854,1.5808265817452443,1.5808241890086756,1.580828030153429,3.4874565510717295,3.486962483516009,3.4892239927632733
optimized,dickens,65536,32,28,sync,3,8.418474,8.409231,8.431447,58.49528120439352,58.495170067023,58.49545848190616,1.7095396062903123,1.709534425325208,1.709542854314661,3.319300742628652,3.3140643592968084,3.3204596234780563
optimized,dickens,65536,32,29,async,3,8.499647999999999,8.498709000000002,8.501406999999999,58.49395246053116,58.49394469321546,58.49405065626364,1.7095784400528424,1.709575570131795,1.7095786670649809,3.4067016657631,3.406254282379376,3.4068914466891376
optimized,dickens,65536,32,29,sw,3,8.305325,8.3041,8.305476,63.25800349069721,63.257806681725135,63.258011038133525,1.5808276341618355,1.5808274455502163,1.5808325524648563,3.4885084250439107,3.488206542188295,3.488866343131706
optimized,dickens,65536,32,29,sync,3,8.422096999999999,8.418848,8.42982,58.49527079692818,58.49522162322949,58.495673304262674,1.7095399104512123,1.7095281471478136,1.7095413475668964,3.437351291489519,3.4341868509647897,3.4387651374629877
optimized,dickens,65536,32,30,async,3,8.496195,8.492562,8.496569,58.4937928539182,58.49362758308418,58.49386108698109,1.7095831048217198,1.70958111059379,1.7095879351637118,3.5256314637119996,3.525142254856439,3.5263197372006236
optimized,dickens,65536,32,30,sw,3,8.592107,8.591895000000001,8.595604999999999,63.25788684430792,63.25787562866482,63.257976286609555,1.580830549179153,1.5808283139966335,1.580830829460953,3.4881210161838068,3.4864825687080785,3.488256781536552
optimized,dickens,65536,32,30,sync,3,8.428967,8.418731,8.434956,58.49487323657194,58.49485954949682,58.49575911313666,1.7095515293377606,1.7095256393987466,1.709551929351717,3.5532866601565765,3.5500974753158165,3.5575093205852526
