repeat,cpuset,mode,cores,block_bytes,input,wall_seconds,input_bytes,output_bytes,calls,mbps,thread_cpu_seconds,process_cpu_seconds,cpu_cores_used,output_ratio,depth,validation,fallback
1,"0,2,4,6,8,10,12,14,16,18",sync,10,65536,/root/hch/silesia/dickens,2.000157,8373662236,4898198024,128161,4186.502,19.987453,19.987651,9.993039,0.584953,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18",sw,10,65536,/root/hch/silesia/dickens,2.000222,5731524962,3625618853,87722,2865.445,19.986930,19.987136,9.992461,0.632575,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18",async,10,65536,/root/hch/silesia/dickens,2.001150,8507964676,4976697119,130216,4251.539,19.982236,19.982433,9.985477,0.584946,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18,20,22",sync,12,65536,/root/hch/silesia/dickens,2.000143,8507371656,4976301711,130206,4253.382,23.982167,23.982407,11.990348,0.584940,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18,20,22",sw,12,65536,/root/hch/silesia/dickens,2.000228,6877535362,4350568350,105262,3438.376,23.985376,23.985613,11.991439,0.632577,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18,20,22",async,12,65536,/root/hch/silesia/dickens,2.001447,8504881288,4974851382,130168,4249.367,23.988914,23.989132,11.985895,0.584941,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26",sync,14,65536,/root/hch/silesia/dickens,2.000203,8512611340,4979306104,130285,4255.873,27.981585,27.981817,13.989487,0.584933,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26",async,14,65536,/root/hch/silesia/dickens,2.001608,8499700748,4971798470,130088,4246.435,27.987489,27.987736,13.982623,0.584938,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26",sw,14,65536,/root/hch/silesia/dickens,2.000210,8026136032,5077144243,122842,4012.646,27.982221,27.982503,13.989780,0.632576,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28",async,15,65536,/root/hch/silesia/dickens,2.001831,8494551378,4968780713,130008,4243.390,29.983949,29.984218,14.978394,0.584937,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28",sync,15,65536,/root/hch/silesia/dickens,2.000206,8510972940,4978349812,130260,4255.047,29.980073,29.980109,14.988508,0.584933,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28",sw,15,65536,/root/hch/silesia/dickens,2.000218,8600517488,5440456713,131633,4299.791,29.979495,29.979773,14.988254,0.632573,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sync,16,65536,/root/hch/silesia/dickens,2.000216,8510916992,4978472230,130262,4255.000,31.980908,31.981264,15.988908,0.584951,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sw,16,65536,/root/hch/silesia/dickens,2.000207,9174309120,5803445536,140415,4586.680,31.979242,31.979569,15.988132,0.632576,8,PASS,0
1,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",async,16,65536,/root/hch/silesia/dickens,2.001860,8493746560,4968354734,130000,4242.927,31.984209,31.984468,15.977372,0.584943,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18",sw,10,65536,/root/hch/silesia/dickens,2.000191,5733787552,3627046671,87757,2866.619,19.986953,19.987129,9.992608,0.632574,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18",async,10,65536,/root/hch/silesia/dickens,2.001029,8503770372,4974259854,130152,4249.699,19.986645,19.986847,9.988285,0.584948,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18",sync,10,65536,/root/hch/silesia/dickens,2.000141,8374645276,4898780167,128176,4187.028,19.986958,19.987129,9.992862,0.584954,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18,20,22",sync,12,65536,/root/hch/silesia/dickens,2.000169,8503963784,4974292418,130154,4251.622,23.984496,23.985000,11.991485,0.584938,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18,20,22",async,12,65536,/root/hch/silesia/dickens,2.001472,8496492680,4969960842,130040,4245.121,23.986633,23.986811,11.984583,0.584943,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18,20,22",sw,12,65536,/root/hch/silesia/dickens,2.000217,6877731970,4350695812,105265,3438.492,23.985082,23.985244,11.991319,0.632577,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26",sync,14,65536,/root/hch/silesia/dickens,2.000210,8510972940,4978348622,130260,4255.040,27.978485,27.978718,13.987890,0.584933,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26",async,14,65536,/root/hch/silesia/dickens,2.001728,8500749324,4972414396,130104,4246.706,27.986945,27.987217,13.981529,0.584938,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26",sw,14,65536,/root/hch/silesia/dickens,2.000227,8028460962,5078592670,122877,4013.776,27.982006,27.982302,13.989566,0.632574,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28",async,15,65536,/root/hch/silesia/dickens,2.001488,8492978514,4967863917,129984,4243.332,29.986678,29.987019,14.982363,0.584938,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28",sw,15,65536,/root/hch/silesia/dickens,2.000204,8601662770,5441187402,131650,4300.393,29.980928,29.981160,14.989051,0.632574,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28",sync,15,65536,/root/hch/silesia/dickens,2.000240,8507368460,4976240721,130205,4253.173,29.981437,29.984884,14.990642,0.584933,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",async,16,65536,/root/hch/silesia/dickens,2.001877,8493222272,4968055679,129992,4242.629,31.989743,31.989970,15.979984,0.584944,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sw,16,65536,/root/hch/silesia/dickens,2.000191,9174636800,5803643518,140420,4586.880,31.979659,31.979954,15.988449,0.632575,8,PASS,0
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sync,16,65536,/root/hch/silesia/dickens,2.000214,8510785920,4978393276,130260,4254.939,31.979657,31.981368,15.988977,0.584951,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18",sw,10,65536,/root/hch/silesia/dickens,2.000217,5731821472,3625814616,87727,2865.600,19.987481,19.987667,9.992749,0.632576,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18",async,10,65536,/root/hch/silesia/dickens,2.001148,8509013252,4977299845,130232,4252.066,19.984468,19.984673,9.986603,0.584944,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18",sync,10,65536,/root/hch/silesia/dickens,2.000148,8364945948,4893092549,128028,4182.163,19.984304,19.984509,9.991513,0.584952,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18,20,22",sw,12,65536,/root/hch/silesia/dickens,2.000224,6881008770,4352751143,105315,3440.119,23.985259,23.985534,11.991425,0.632575,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18,20,22",async,12,65536,/root/hch/silesia/dickens,2.001433,8496492680,4969954413,130040,4245.204,23.987036,23.987267,11.985045,0.584942,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18,20,22",sync,12,65536,/root/hch/silesia/dickens,2.000129,8494002312,4968460682,130002,4246.727,23.983045,23.983363,11.990908,0.584938,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26",async,14,65536,/root/hch/silesia/dickens,2.001461,8500749324,4972413385,130104,4247.272,27.980688,27.980926,13.980250,0.584938,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26",sync,14,65536,/root/hch/silesia/dickens,2.000199,8517133324,4981948137,130354,4258.143,27.982183,27.982454,13.989836,0.584933,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26",sw,14,65536,/root/hch/silesia/dickens,2.000231,8028102112,5078372193,122872,4013.587,27.981603,27.981879,13.989321,0.632574,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28",sync,15,65536,/root/hch/silesia/dickens,2.000214,8511562764,4978697016,130269,4255.326,29.982273,29.982571,14.989681,0.584933,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28",async,15,65536,/root/hch/silesia/dickens,2.001784,8489863956,4966040315,129936,4241.148,29.983425,29.983750,14.978511,0.584938,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28",sw,15,65536,/root/hch/silesia/dickens,2.000221,8598289264,5439069123,131599,4298.670,29.981532,29.981821,14.989256,0.632576,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sw,16,65536,/root/hch/silesia/dickens,2.000207,9175881984,5804427630,140439,4587.465,31.980077,31.980387,15.988536,0.632574,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",async,16,65536,/root/hch/silesia/dickens,2.001594,8485357952,4963558127,129872,4239.301,31.984140,31.986813,15.980671,0.584956,8,PASS,0
3,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sync,16,65536,/root/hch/silesia/dickens,2.000229,8513472896,4979958405,130301,4256.248,31.980527,31.980787,15.988559,0.584950,8,PASS,0
