# The following is the parsable format, which can be fed to other
# programs. Each different item in every column has an unique ID
# starting usually from zero.
# CPU,Core,Socket,Node
0,0,0,0
1,0,0,0
2,1,0,0
3,1,0,0
4,2,0,0
5,2,0,0
6,3,0,0
7,3,0,0
8,4,0,0
9,4,0,0
10,5,0,0
11,5,0,0
12,6,0,0
13,6,0,0
14,7,0,0
15,7,0,0
16,8,0,0
17,8,0,0
18,9,0,0
19,9,0,0
20,10,0,0
21,10,0,0
22,11,0,0
23,11,0,0
24,12,0,0
25,12,0,0
26,13,0,0
27,13,0,0
28,14,0,0
29,14,0,0
30,15,0,0
31,15,0,0
32,16,0,0
33,16,0,0
34,17,0,0
35,17,0,0
36,18,0,0
37,18,0,0
38,19,0,0
39,19,0,0
40,20,0,0
41,20,0,0
42,21,0,0
43,21,0,0
44,22,0,0
45,22,0,0
46,23,0,0
47,23,0,0
48,24,0,0
49,24,0,0
50,25,0,0
51,25,0,0
52,26,0,0
53,26,0,0
54,27,0,0
55,27,0,0
56,28,0,0
57,28,0,0
58,29,0,0
59,29,0,0
60,30,0,0
61,30,0,0
62,31,0,0
63,31,0,0
64,32,0,1
65,32,0,1
66,33,0,1
67,33,0,1
68,34,0,1
69,34,0,1
70,35,0,1
71,35,0,1
72,36,0,1
73,36,0,1
74,37,0,1
75,37,0,1
76,38,0,1
77,38,0,1
78,39,0,1
79,39,0,1
80,40,0,1
81,40,0,1
82,41,0,1
83,41,0,1
84,42,0,1
85,42,0,1
86,43,0,1
87,43,0,1
88,44,0,1
89,44,0,1
90,45,0,1
91,45,0,1
92,46,0,1
93,46,0,1
94,47,0,1
95,47,0,1
96,48,0,1
97,48,0,1
98,49,0,1
99,49,0,1
100,50,0,1
101,50,0,1
102,51,0,1
103,51,0,1
104,52,0,1
105,52,0,1
106,53,0,1
107,53,0,1
108,54,0,1
109,54,0,1
110,55,0,1
111,55,0,1
112,56,0,1
113,56,0,1
114,57,0,1
115,57,0,1
116,58,0,1
117,58,0,1
118,59,0,1
119,59,0,1
120,60,0,1
121,60,0,1
122,61,0,1
123,61,0,1
124,62,0,1
125,62,0,1
126,63,0,1
127,63,0,1
