phase,dataset,block_bytes,cores,mode,samples,mbps,mbps_min,mbps_max,output_ratio,output_ratio_min,output_ratio_max,compression_factor,compression_factor_min,compression_factor_max,space_saved_pct,space_saved_pct_min,space_saved_pct_max,payload_output_ratio,payload_output_ratio_min,payload_output_ratio_max,cpu_seconds_per_gb,cpu_seconds_per_gb_min,cpu_seconds_per_gb_max,cpu_cores_used,cpu_cores_used_min,cpu_cores_used_max
scaling,dickens,65536,1,async,3,521.879,521.833,522.148,0.584948543365072,0.5849456884721972,0.5849493471405781,1.7095520817048868,1.709549732619284,1.7095604253650818,41.505145663492804,41.50506528594219,41.50543115278028,0.5847648801829002,0.584762025570011,0.5847656839584063,1.913890071921679,1.9129139322478999,1.9139216864529116,0.99882,0.998748,0.998824
scaling,dickens,65536,1,sync,3,427.911,427.7,428.373,0.5849608910790147,0.5849575112281069,0.5849649711677706,1.7095159954290398,1.7095040716774739,1.7095258729142897,41.50391089209853,41.50350288322294,41.50424887718931,0.5847772318245043,0.5847738461813847,0.5847813122100933,2.335295597134138,2.332796806735321,2.3363890158513683,0.999298,0.999274,0.999308
scaling,dickens,65536,1,sw,3,286.408,286.402,286.445,0.6325823602213714,0.6325821928083513,0.6325825957582704,1.5808218231852866,1.580821234579352,1.580822241550139,36.74176397786286,36.74174042417297,36.74178071916487,0.6325823602213714,0.6325821928083513,0.6325825957582704,3.4883345464901825,3.4878384681008923,3.488382355434281,0.999075,0.999067,0.999101
scaling,dickens,65536,2,sync,3,850.805,849.418,851.171,0.5849542319794432,0.584953432695403,0.5849563856416241,1.7095354565024203,1.7095291624231521,1.709537792422393,41.50457680205568,41.50436143583759,41.5046567304597,0.5847705697389953,0.5847697707121536,0.5847727225206177,2.349196304101352,2.348087605854373,2.3530523338515104,1.998708,1.998623,1.998725
scaling,dickens,65536,2,sw,3,571.622,571.319,572.028,0.6325788766882309,0.6325773698733398,0.6325824531769463,1.580830528574311,1.5808215908895586,1.5808342941516054,36.74211233117691,36.74175468230537,36.74226301266602,0.6325788766882309,0.6325773698733398,0.6325824531769463,3.4958726946899548,3.4934382293533806,3.4975266291287284,1.998318,1.998202,1.998345
scaling,dickens,65536,2,async,3,1033.238,1032.321,1036.823,0.5849518113977483,0.5849499213905403,0.5849569663651972,1.709542530709478,1.7095274652660268,1.7095480543407966,41.50481886022517,41.504303363480275,41.50500786094597,0.5847681482377639,0.5847662602036909,0.5847733026388836,1.9329647847852138,1.9262603573974277,1.93451464647424,1.99719,1.997041,1.997213
scaling,dickens,65536,4,sw,3,1145.466,1144.848,1145.618,0.6325768904835176,0.6325766173053771,0.6325790076040979,1.5808354921654477,1.5808302014123334,1.580836174849076,36.742310951648236,36.74209923959021,36.742338269462294,0.6325768904835176,0.6325766173053771,0.6325790076040979,3.489700055416955,3.4890207608081516,3.49142680259374,3.997153,3.997086,3.997334
scaling,dickens,65536,4,sync,3,1710.396,1709.074,1711.367,0.5849577254545251,0.584957492933014,0.584960786731828,1.709525246842373,1.7095163003780018,1.7095259263813112,41.50422745454749,41.50392132681719,41.5042507066986,0.5847740627577482,0.5847738305456355,0.5847771235970388,2.3369034018927306,2.3355880254689683,2.3379411111705313,3.997031,3.995714,3.997049
scaling,dickens,65536,4,async,3,2071.503,2069.66,2072.136,0.5849516906970161,0.5849514467777075,0.5849529671105984,1.7095428834617454,1.7095391531041293,1.7095435963252155,41.50483093029839,41.504703288940156,41.50485532222925,0.5847680289478401,0.5847677851692198,0.584769304868452,1.9285156761797475,1.9277925328956236,1.9300503682437034,3.994647,3.994549,3.994927
scaling,dickens,65536,8,async,3,4120.09,4117.387,4125.309,0.5849587861098019,0.5849550953268905,0.5849634189486204,1.7095221471077986,1.70950860790123,1.709532933363321,41.50412138901981,41.503658105137966,41.50449046731095,0.5847751222811315,0.5847714304644611,0.5847797547968047,1.9392728120955771,1.9369963515532602,1.9402590691505661,7.989979,7.988797,7.990708
scaling,dickens,65536,8,sw,3,2292.254,2291.411,2292.287,0.6325744835817098,0.6325736940460005,0.6325760519795156,1.5808415071342816,1.5808375876239817,1.5808434802337519,36.742551641829024,36.74239480204844,36.74263059539995,0.6325744835817098,0.6325736940460005,0.6325760519795156,3.487589981632029,3.4868822128771666,3.488734086452833,7.994123,7.992935,7.994442
scaling,dickens,65536,8,sync,3,3401.251,3400.137,3401.284,0.5849476197290445,0.5849474155379286,0.5849478153632315,1.7095547810985423,1.7095542093426508,1.7095553778631216,41.50523802709555,41.505218463676854,41.50525844620714,0.5847639580351018,0.5847637538493442,0.584764153481684,2.3504159714113624,2.3501979762917404,2.351112705588045,7.994105,7.993691,7.994355
scaling,dickens,65536,16,sync,3,4253.406,4251.377,4254.962,0.5849502258289669,0.5849501878080219,0.5849509620439086,1.7095471646033504,1.7095450129799707,1.709547275721528,41.504977417103305,41.50490379560914,41.50498121919781,0.584766561954628,0.5847665242003702,0.584767298633957,3.757914585291528,3.7577187388758486,3.7608767148208244,15.988906,15.983935,15.98895
scaling,dickens,65536,16,sw,3,4586.606,4586.543,4586.786,0.6325753919175182,0.6325739070127844,0.6325755832471256,1.5808392371519733,1.5808387590093471,1.580842948015859,36.742460808248175,36.74244167528744,36.74260929872156,0.6325753919175182,0.6325739070127844,0.6325755832471256,3.485819153065993,3.4857494786145464,3.4859511831862546,15.988388,15.988079,15.988465
scaling,dickens,65536,16,async,3,4242.509,4235.395,4244.152,0.5849437120441818,0.5849395617044836,0.5849648921076573,1.7095662016868867,1.7095043027231098,1.7095783316246413,41.50562879558181,41.50351078923427,41.50604382955164,0.5847600474761248,0.5847558973434296,0.5847812285971832,3.766465067735366,3.7652844132928327,3.7723370909895246,15.979261,15.977339,15.980439
scaling,dickens,65536,32,sync,3,4248.511,4245.136,4249.693,0.5849188681071497,0.584915274077775,0.5849382133218448,1.7096388140736345,1.709582272495129,1.7096493190003994,41.508113189285034,41.50617866781552,41.5084725922225,0.5847352039486376,0.5847316100743024,0.5847545487020129,7.526128232678567,7.5229266353390285,7.532125906529075,31.974835,31.970126,31.974902
scaling,dickens,65536,32,sw,3,9169.969,9169.794,9174.022,0.6325764623988415,0.632575235520045,0.6325781552134918,1.580836561967266,1.5808323315598927,1.5808396279975965,36.742353760115854,36.74218447865082,36.7424764479955,0.6325764623988415,0.632575235520045,0.6325781552134918,3.486855208841239,3.4851707015850324,3.4869238710787593,31.973745,31.973034,31.974985
scaling,dickens,65536,32,async,3,4229.707,4225.299,4229.916,0.5849579220437535,0.5849480475468843,0.5849584561646639,1.709524672315152,1.7095231113617806,1.7095535307686427,41.50420779562465,41.50415438353361,41.50519524531157,0.5847742662269855,0.5847644013623746,0.5847747997063432,7.55363871650173,7.552908080275424,7.561718920896861,31.949675,31.948168,31.950527
scaling,text,65536,1,async,3,3904.857,3903.943,3906.341,0.019871324254740783,0.019842760647405998,0.019880768757125,50.32377244618843,50.29986577564378,50.396213398397656,98.01286757452591,98.0119231242875,98.0157239352594,0.019688218785990783,0.019659655178655998,0.019697663288375,0.25571673052139365,0.25561965882994153,0.25578757990265455,0.998538,0.998537,0.99858
scaling,text,65536,1,sync,3,1852.556,1848.404,1856.781,0.019163959247020593,0.019139954531908556,0.019175423276260786,52.18128399826718,52.150087411003966,52.246728085632725,98.08360407529794,98.08245767237392,98.08600454680915,0.018980853778270593,0.018956849063158556,0.018992317807510786,0.5394876365936914,0.5382734753285483,0.5407068450402418,0.999445,0.999431,0.999456
scaling,text,65536,1,sw,3,10224.557,10155.056,10243.124,0.0049285888671875,0.0049285888671875,0.0049285888671875,202.89783281733747,202.89783281733747,202.89783281733747,99.50714111328125,99.50714111328125,99.50714111328125,0.0049285888671875,0.0049285888671875,0.0049285888671875,0.09769854994724565,0.09752175030268202,0.09820072529103302,0.998924,0.997234,0.998927
scaling,text,65536,2,sync,3,2022.866,2021.875,2025.276,0.01909871043364001,0.01907748383756855,0.019109414862922166,52.35955607969342,52.330226078261106,52.417814032201605,98.09012895663601,98.08905851370778,98.09225161624315,0.01891560496489001,0.01889437836881855,0.018926309394172166,0.988157301226386,0.986965277205469,0.9886289692724118,1.998884,1.998877,1.99891
scaling,text,65536,2,sw,3,20289.231,20223.889,20308.596,0.0049285888671875,0.0049285888671875,0.0049285888671875,202.89783281733747,202.89783281733747,202.89783281733747,99.50714111328125,99.50714111328125,99.50714111328125,0.0049285888671875,0.0049285888671875,0.0049285888671875,0.09847434170274849,0.09825688453935731,0.098792862730755,1.997969,1.995459,1.997976
